"schema_version","artifact_set_id","source_snapshot_id","guide_fight_source_ordinal","guide_fight_row_key","stage_source_ordinal","stage_row_key","context_field_ordinal","field_path","semantic_role","en_observed_state","en_json_type","zh_observed_state","zh_json_type","en_stage_row_sha256","zh_compare_stage_row_sha256","en_zh_field_value_equal","source_value_copied","negative_boundary_code"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","0","Stage.Name","stage-label","present-nonempty","string","present-nonempty","string","a081212fe17bf3bbac204308b1ed6822b1f7955d8fe80808e545c8e876efee78","e2ac80b1a80e0e49117d963f865b38eeeb078b157bf5d275e2467f160813bc9b","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","1","Stage.Description","stage-description","present-nonempty","string","present-nonempty","string","a081212fe17bf3bbac204308b1ed6822b1f7955d8fe80808e545c8e876efee78","e2ac80b1a80e0e49117d963f865b38eeeb078b157bf5d275e2467f160813bc9b","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","2","Stage.RecommandLevel","recommended-level-shape","present-nonempty","number","present-nonempty","number","a081212fe17bf3bbac204308b1ed6822b1f7955d8fe80808e545c8e876efee78","e2ac80b1a80e0e49117d963f865b38eeeb078b157bf5d275e2467f160813bc9b","1","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","3","Stage.RequireLevel","required-level-shape","present-nonempty","number","present-nonempty","number","a081212fe17bf3bbac204308b1ed6822b1f7955d8fe80808e545c8e876efee78","e2ac80b1a80e0e49117d963f865b38eeeb078b157bf5d275e2467f160813bc9b","1","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","4","Stage.StarDesc","challenge-copy-shape","present-nonempty","string","present-nonempty","string","a081212fe17bf3bbac204308b1ed6822b1f7955d8fe80808e545c8e876efee78","e2ac80b1a80e0e49117d963f865b38eeeb078b157bf5d275e2467f160813bc9b","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","0","Stage.Name","stage-label","present-nonempty","string","present-nonempty","string","d165700b94b1b9b5316003a8302e4ce017d3f8b762c085fb1e8ff6e6685e4de7","c678c8e8754254f1d373bfc020690d07ac2011b362986fcc962a8708eeb10a69","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","1","Stage.Description","stage-description","present-nonempty","string","present-nonempty","string","d165700b94b1b9b5316003a8302e4ce017d3f8b762c085fb1e8ff6e6685e4de7","c678c8e8754254f1d373bfc020690d07ac2011b362986fcc962a8708eeb10a69","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","2","Stage.RecommandLevel","recommended-level-shape","present-nonempty","number","present-nonempty","number","d165700b94b1b9b5316003a8302e4ce017d3f8b762c085fb1e8ff6e6685e4de7","c678c8e8754254f1d373bfc020690d07ac2011b362986fcc962a8708eeb10a69","1","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","3","Stage.RequireLevel","required-level-shape","present-nonempty","number","present-nonempty","number","d165700b94b1b9b5316003a8302e4ce017d3f8b762c085fb1e8ff6e6685e4de7","c678c8e8754254f1d373bfc020690d07ac2011b362986fcc962a8708eeb10a69","1","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","4","Stage.StarDesc","challenge-copy-shape","present-nonempty","string","present-nonempty","string","d165700b94b1b9b5316003a8302e4ce017d3f8b762c085fb1e8ff6e6685e4de7","c678c8e8754254f1d373bfc020690d07ac2011b362986fcc962a8708eeb10a69","0","0","STATIC-SHAPE-NO-PAYLOAD-NO-RUNTIME"
