"schema_version","artifact_set_id","source_snapshot_id","guide_fight_source_ordinal","guide_fight_row_key","stage_source_ordinal","stage_row_key","semantic_slot_ordinal","semantic_slot_id","guide_fight_field_paths","stage_field_paths","guide_fight_observed_state","stage_observed_state","combined_value_state","foreign_classification","mapping_disposition","negative_boundary_code","source_value_copied"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","10","storyEntry","","BeginStoryIds|BeginConditions|KeepPlayingStory","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","11","storyExit","","EndStoryIds|EndConditions","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","12","challengeReference","","StarDesc|StarRewardId|SuggestedConditionId|ForceConditionId","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","1","Id=100001","3","StageId=10010001","13","resultReference","","FinishRewardShow|FirstRewardShow|FinishDropId|FirstRewardId|StarRewardId","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","0","logicalStageId","Id|StageId","StageId","exact-identity-present","exact-identity-present","present","proven-static","identity-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","1","physicalSceneOrScript","","","not-mapped","not-mapped","unresolved","unknown","consumer-unresolved","NO-PHYSICAL-CONSUMER-IN-BOUNDARY","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","2","briefingAndCatalog","","Name|Description","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","3","recommendedPowerOrLevel","","RecommandLevel|RequireLevel","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","4","loadout","NpcId|Weapon","RobotId","one-or-more-present","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","5","restrictions","","CharacterLimitType|CareerSuggestType|AISuggestType|LimitBuffId|NeedJobType|DisableJoystick|HideAction","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","6","entryCost","","RequireActionPoint|FirstRequireActionPoint|FinishRequireActionPoint","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","7","recordOrTargetTime","DefaultRecordTime","StandardUseTimeSec|PassTimeLimit","one-or-more-present","all-explicit-null","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","8","prerequisite","","PreStageId|RequireLevel|BeginConditions","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","9","recommendedNext","","NextStageId","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","10","storyEntry","","BeginStoryIds|BeginConditions|KeepPlayingStory","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","11","storyExit","","EndStoryIds|EndConditions","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","12","challengeReference","","StarDesc|StarRewardId|SuggestedConditionId|ForceConditionId","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","2","Id=100002","4","StageId=10010002","13","resultReference","","FinishRewardShow|FirstRewardShow|FinishDropId|FirstRewardId|StarRewardId","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","0","logicalStageId","Id|StageId","StageId","exact-identity-present","exact-identity-present","present","proven-static","identity-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","1","physicalSceneOrScript","","","not-mapped","not-mapped","unresolved","unknown","consumer-unresolved","NO-PHYSICAL-CONSUMER-IN-BOUNDARY","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","2","briefingAndCatalog","","Name|Description","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","3","recommendedPowerOrLevel","","RecommandLevel|RequireLevel","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","4","loadout","NpcId|Weapon","RobotId","all-explicit-null","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","5","restrictions","","CharacterLimitType|CareerSuggestType|AISuggestType|LimitBuffId|NeedJobType|DisableJoystick|HideAction","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","6","entryCost","","RequireActionPoint|FirstRequireActionPoint|FinishRequireActionPoint","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","7","recordOrTargetTime","DefaultRecordTime","StandardUseTimeSec|PassTimeLimit","all-explicit-null","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","8","prerequisite","","PreStageId|RequireLevel|BeginConditions","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","9","recommendedNext","","NextStageId","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","10","storyEntry","","BeginStoryIds|BeginConditions|KeepPlayingStory","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","11","storyExit","","EndStoryIds|EndConditions","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","12","challengeReference","","StarDesc|StarRewardId|SuggestedConditionId|ForceConditionId","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","3","Id=100003","5","StageId=10010003","13","resultReference","","FinishRewardShow|FirstRewardShow|FinishDropId|FirstRewardId|StarRewardId","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","0","logicalStageId","Id|StageId","StageId","exact-identity-present","exact-identity-present","present","proven-static","identity-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","1","physicalSceneOrScript","","","not-mapped","not-mapped","unresolved","unknown","consumer-unresolved","NO-PHYSICAL-CONSUMER-IN-BOUNDARY","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","2","briefingAndCatalog","","Name|Description","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","3","recommendedPowerOrLevel","","RecommandLevel|RequireLevel","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","4","loadout","NpcId|Weapon","RobotId","all-explicit-null","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","5","restrictions","","CharacterLimitType|CareerSuggestType|AISuggestType|LimitBuffId|NeedJobType|DisableJoystick|HideAction","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","6","entryCost","","RequireActionPoint|FirstRequireActionPoint|FinishRequireActionPoint","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","7","recordOrTargetTime","DefaultRecordTime","StandardUseTimeSec|PassTimeLimit","all-explicit-null","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","8","prerequisite","","PreStageId|RequireLevel|BeginConditions","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","9","recommendedNext","","NextStageId","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","10","storyEntry","","BeginStoryIds|BeginConditions|KeepPlayingStory","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","11","storyExit","","EndStoryIds|EndConditions","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","12","challengeReference","","StarDesc|StarRewardId|SuggestedConditionId|ForceConditionId","not-mapped","one-or-more-present","present","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
"1","PGR-GUIDEFIGHT-STAGE-SPINE-ALT3RI-856A0E45-V1","pgr-alt3ri-856a0e45-en-guidefight-stage-v1","4","Id=100004","7","StageId=10010005","13","resultReference","","FinishRewardShow|FirstRewardShow|FinishDropId|FirstRewardId|StarRewardId","not-mapped","all-explicit-null","absent","proven-static","static-field-family-only","STATIC-FIELD-FAMILY-NO-RUNTIME","0"
